start	den_afr	alt_afr	vin_afr	chag_afr	den_alt	den_vin	den_chag	alt_vin	nea_afr	den_nea	z_den	z_nea	cddr
0	0.001045	0.001148	0.001168	0.001168	0.00059	0.00061	0.00061	0.00016	0.00116133	0.000603333	-0.706843	-0.148209	False
50000	0.001082	0.000832	0.000812	0.000792	0.00069	0.00067	0.00065	0.00014	0.000812	0.00067	-0.561749	-1.43988	False
100000	0.001466	0.001055	0.001055	0.001055	0.0009	0.00092	0.00092	0	0.001055	0.000913333	0.944091	-0.54138	False
150000	0.0017085	0.001365	0.0016855	0.0013885	0.00083	0.00054	0.00096	0.00071	0.00147967	0.000776667	1.89504	1.02884	False
200000	0.00129	0.001136	0.00127	0.001106	0.00074	0.0005	0.00067	0.00054	0.00117067	0.000636667	0.253914	-0.113699	False
250000	0.0009715	0.0011225	0.0010935	0.001139	0.00064	0.00063	0.00068	0.0002	0.00111833	0.00065	-0.99507	-0.307203	False
300000	0.001161	0.001423	0.001473	0.001453	0.00107	0.00112	0.0011	8e-05	0.00144967	0.00109667	-0.251954	0.917911	False
350000	0.001501	0.001431	0.001411	0.001441	0.00063	0.00061	0.00064	0.0002	0.00142767	0.000626667	1.08134	0.836566	False
400000	0.0017065	0.0015995	0.0015795	0.0015595	0.00072	0.0007	0.00068	0.00014	0.0015795	0.0007	1.8872	1.39797	False
450000	0.0014735	0.0012815	0.0014215	0.0012615	0.00116	0.00089	0.00114	0.00079	0.0013215	0.00106333	0.973502	0.444012	False
500000	0.001152	0.001115	0.001133	0.001113	0.00051	0.00054	0.00052	0.00023	0.00112033	0.000523333	-0.287247	-0.299808	False
550000	0.000926	0.000799	0.000869	0.000859	9e-05	0.00016	0.00015	-1e-05	0.000842333	0.000133333	-1.1735	-1.32772	False
600000	0.001009	0.001039	0.001089	0.001099	0.00031	0.00036	0.00037	7e-05	0.00107567	0.000346667	-0.848015	-0.464964	False
650000	0.001073	0.001143	0.001123	0.001143	0.00037	0.00035	0.00037	0.00012	0.00113633	0.000363333	-0.597042	-0.240647	False
700000	0.001155	0.000801	0.000841	0.000841	0.0006	0.00056	0.00064	0.0002	0.000827667	0.0006	-0.275482	-1.38195	False
750000	0.0009265	0.0009265	0.0009565	0.0009965	0.0003	0.00031	0.00035	0.00011	0.000959833	0.00032	-1.17154	-0.893261	False
800000	0.000912	0.000614	0.000814	0.000834	0.0007	0.00074	0.00076	0.0003	0.000754	0.000733333	-1.2284	-1.65434	False
