start	den_afr	alt_afr	vin_afr	chag_afr	den_alt	den_vin	den_chag	alt_vin	nea_afr	den_nea	z_den	z_nea	cddr
0	0.0012525	0.0012625	0.0012825	0.0012825	0.00043	0.00045	0.00045	0.00016	0.00127583	0.000443333	0.0502379	0.138558	False
50000	0.001053	0.001009	0.000989	0.000969	0.00039	0.00037	0.00035	0.00014	0.000989	0.00037	-0.692167	-0.861268	False
100000	0.0017625	0.0014725	0.0014825	0.0014825	0.00069	0.0007	0.0007	5e-05	0.00147917	0.000696667	1.94812	0.847325	False
150000	0.000997	0.001039	0.001146	0.001003	0.0006	0.00072	0.00038	0.00044	0.00106267	0.000566667	-0.900561	-0.604485	False
200000	0.001289	0.001369	0.001161	0.001439	0.00032	0.0007	0.00039	0.00068	0.001323	0.00047	0.186066	0.302969	False
250000	0.000768	0.0009725	0.0009625	0.0010025	0.00059	0.00059	0.00061	0.00016	0.000979167	0.000596667	-1.75275	-0.895545	False
300000	0.0008905	0.0008625	0.0009125	0.0008925	0.00047	0.00052	0.0005	-8e-05	0.000889167	0.000496667	-1.29688	-1.20926	False
350000	0.0011735	0.0011035	0.0010835	0.0011125	0.00047	0.00045	0.00049	4e-05	0.00109983	0.00047	-0.243747	-0.474932	False
400000	0.001473	0.001383	0.001343	0.001383	0.00053	0.00049	0.00062	0.0002	0.00136967	0.000546667	0.870791	0.465637	False
450000	0.001393	0.001295	0.001682	0.001286	0.00094	0.00143	0.00095	0.00077	0.001421	0.00110667	0.573085	0.644571	False
500000	0.0015335	0.0015255	0.0015155	0.0014955	0.00037	0.00036	0.00034	0.00011	0.00151217	0.000356667	1.09593	0.962355	False
550000	0.0016725	0.0016155	0.0016425	0.0016325	0.00028	0.00033	0.00032	0.00021	0.00163017	0.00031	1.6132	1.37367	False
600000	0.000932	0.000952	0.000982	0.001012	0.00016	0.00019	0.00022	-0.00011	0.000982	0.00019	-1.14245	-0.885669	False
650000	0.0009415	0.0009415	0.0009215	0.0009415	0.0004	0.00038	0.0004	0.00012	0.000934833	0.000393333	-1.1071	-1.05008	False
700000	0.0023665	0.0016225	0.0015265	0.0016625	0.00187	0.00185	0.00191	0.00014	0.00160383	0.00187667	4.1958	1.28188	True
750000	0.0009175	0.001947	0.0017795	0.0018195	0.00166	0.00141	0.00145	0.00037	0.00184867	0.00150667	-1.19641	2.13531	False
800000	0.001156	0.001033	0.001093	0.001113	0.00066	0.00072	0.00074	0.0002	0.00107967	0.000706667	-0.30887	-0.545228	False
850000	0.0015645	0.0015645	0.0016245	0.0015845	0.0003	0.00036	0.00032	0.00012	0.00159117	0.000326667	1.21129	1.23773	False
900000	0.001532	0.001512	0.001522	0.001502	0.0002	0.00021	0.00019	7e-05	0.001512	0.0002	1.09035	0.961774	False
950000	0.001124	0.001064	0.001144	0.001104	0.00028	0.00036	0.00032	0.0001	0.001104	0.00032	-0.427953	-0.460408	False
1000000	0.0011035	0.0010935	0.0010535	0.0010235	0.00031	0.00027	0.00024	0.00014	0.00105683	0.000273333	-0.50424	-0.624819	False
1050000	0.001605	0.001565	0.001555	0.001545	0.00036	0.00035	0.00034	3e-05	0.001555	0.00035	1.36201	1.11166	False
1100000	0.001616	0.00164	0.00166	0.00166	0.00073	0.00075	0.00075	8e-05	0.00165333	0.000743333	1.40294	1.45443	False
1150000	0.000895	0.000855	0.000905	0.000845	0.00035	0.0004	0.00034	0.00012	0.000868333	0.000363333	-1.28014	-1.28188	False
1200000	0.001072	0.000942	0.001062	0.001002	0.00047	0.00055	0.00051	0.00017	0.001002	0.00051	-0.621462	-0.815954	False
1250000	0.00111	0.001171	0.001121	0.001191	0.00025	0.00024	0.00029	0.00025	0.001161	0.00026	-0.480051	-0.261721	False
1300000	0.00113	0.00111	0.00115	0.00115	0.0003	0.00034	0.00034	0.00016	0.00113667	0.000326667	-0.405625	-0.346541	False
1350000	0.000767	0.000767	0.000807	0.000817	0.00016	0.0002	0.00021	8e-05	0.000797	0.00019	-1.75647	-1.53053	False
1400000	0.001024	0.0008775	0.000974	0.001001	0.00071	0.00092	0.00083	0.00033	0.000950833	0.00082	-0.800086	-0.994307	False
1450000	0.0011485	0.000923	0.0009235	0.000953	0.00087	0.00093	0.0009	0.00018	0.000933167	0.0009	-0.33678	-1.05589	False
1500000	0.001035	0.001564	0.001548	0.001574	0.00109	0.00106	0.00114	0.00079	0.001562	0.00109667	-0.759151	1.13606	False
1550000	0.001196	0.001226	0.001266	0.001246	0.00037	0.00043	0.00039	0.00024	0.001246	0.000396667	-0.160017	0.0345669	False
1600000	0.001169	0.00105	0.00109	0.0011	0.00097	0.00101	0.00102	8e-05	0.00108	0.001	-0.260493	-0.544066	False
1650000	0.0010935	0.0011835	0.0011335	0.0011635	0.00039	0.00043	0.00046	0.00024	0.00116017	0.000426667	-0.541453	-0.264626	False
1700000	0.001742	0.001708	0.001764	0.001704	0.00081	0.00096	0.0009	0.00031	0.00172533	0.00089	1.87183	1.7054	False
