start	den_afr	alt_afr	vin_afr	chag_afr	den_alt	den_vin	den_chag	alt_vin	nea_afr	den_nea	z_den	z_nea	cddr
0	0.001147	0.001047	0.001067	0.001067	0.00022	0.00024	0.00024	8e-05	0.00106033	0.000233333	-0.334926	-0.591936	False
50000	0.001065	0.001015	0.000995	0.000975	0.00037	0.00035	0.00033	0.00014	0.000995	0.00035	-0.639235	-0.82145	False
100000	0.001475	0.001485	0.001495	0.001495	0.00019	0.0002	0.0002	1e-05	0.00149167	0.000196667	0.882312	0.923326	False
150000	0.0015145	0.0012935	0.0013275	0.0013275	0.00057	0.00058	0.00058	-1e-05	0.00131617	0.000576667	1.0289	0.3068	False
200000	0.001417	0.001487	0.001477	0.001567	0.00031	0.0003	0.00039	9e-05	0.00151033	0.000333333	0.667069	0.988902	False
250000	0.001279	0.0013915	0.0013205	0.0013905	0.00076	0.00068	0.00075	0.00015	0.0013675	0.00073	0.154938	0.487132	False
300000	0.0011255	0.0010955	0.0011455	0.0011355	0.00029	0.00034	0.00033	0.0001	0.0011255	0.00032	-0.414714	-0.363007	False
350000	0.0010755	0.0011255	0.0011055	0.0011055	0.00059	0.00057	0.00057	0.00014	0.00111217	0.000576667	-0.600269	-0.409847	False
400000	0.0008485	0.0008685	0.0008785	0.0008385	0.00053	0.00054	0.0005	0.00021	0.000861833	0.000523333	-1.44269	-1.28926	False
450000	0.0012935	0.0013675	0.0012575	0.0013475	0.00119	0.00108	0.00117	0.00013	0.00132417	0.00114667	0.208749	0.334903	False
500000	0.001615	0.001555	0.001565	0.001565	0.0004	0.00043	0.00043	0.00029	0.00156167	0.00042	1.40186	1.16923	False
550000	0.001832	0.001716	0.001845	0.001825	0.00105	0.0011	0.00108	0.00039	0.00179533	0.00107667	2.20717	1.9901	False
600000	0.00133	0.001052	0.001102	0.001202	0.00069	0.00074	0.00096	7e-05	0.00111867	0.000796667	0.344204	-0.387012	False
650000	0.0012325	0.0012605	0.0012705	0.0012505	0.00038	0.00039	0.00037	0.00015	0.0012605	0.00038	-0.0176277	0.111244	False
700000	0.0016005	0.0013515	0.0013915	0.0013915	0.00086	0.0009	0.0009	0.00016	0.00137817	0.000886667	1.34805	0.524604	False
750000	0.001434	0.0009685	0.000993	0.001033	0.00084	0.00085	0.00089	0.00013	0.000998167	0.00086	0.730157	-0.810326	False
800000	0.001315	0.001235	0.001255	0.001275	0.00034	0.00028	0.0003	0.0002	0.001255	0.000306667	0.288537	0.0919228	False
850000	0.0014785	0.0015955	0.0016555	0.0016155	0.00062	0.00068	0.00064	0.0002	0.00162217	0.000646667	0.895301	1.38177	False
900000	0.0017205	0.0015405	0.0015505	0.0015305	0.00052	0.00053	0.00051	7e-05	0.0015405	0.00052	1.79338	1.09488	False
950000	0.001219	0.001134	0.001214	0.001174	0.00051	0.00059	0.00055	0.0001	0.001174	0.00055	-0.0677274	-0.192628	False
1000000	0.001071	0.001001	0.000961	0.000931	0.00041	0.00037	0.00034	0.00014	0.000964333	0.000373333	-0.616969	-0.929181	False
1050000	0.0011445	0.0010695	0.0010595	0.0010495	0.00061	0.0006	0.00059	-5e-05	0.0010595	0.0006	-0.344204	-0.594863	False
1100000	0.00119	0.001282	0.001302	0.001302	0.00074	0.00076	0.00076	8e-05	0.00129533	0.000753333	-0.175349	0.233613	False
1150000	0.0010775	0.0012045	0.0012545	0.0011945	0.00081	0.00086	0.0008	0.00012	0.00121783	0.000823333	-0.592847	-0.0386427	False
1200000	0.0009355	0.0011315	0.0011915	0.0011615	0.00085	0.00091	0.00088	7e-05	0.0011615	0.00088	-1.11982	-0.23654	False
1250000	0.001174	0.001264	0.001134	0.001224	0.00057	0.00044	0.00055	0.00025	0.00120733	0.00052	-0.234726	-0.0755289	False
1300000	0.000903	0.001271	0.001341	0.001331	0.00123	0.0013	0.00129	0.00021	0.00131433	0.00127333	-1.24043	0.300359	False
1350000	0.00105	0.001062	0.001018	0.001036	0.00094	0.00068	0.00075	0.00046	0.00103867	0.00079	-0.694902	-0.66805	False
1400000	0.0009415	0.0015925	0.0016025	0.0015725	0.00133	0.00134	0.00131	0.00017	0.00158917	0.00132667	-1.09756	1.26584	False
1450000	0.001593	0.001553	0.001543	0.001573	0.0003	0.00029	0.00032	0.00011	0.00155633	0.000303333	1.32022	1.1505	False
1500000	0.0015795	0.0017035	0.0017235	0.0016435	0.00096	0.00098	0.0009	0.00022	0.00169017	0.000946667	1.27012	1.62065	False
