start	den_afr	alt_afr	vin_afr	chag_afr	den_alt	den_vin	den_chag	alt_vin	nea_afr	den_nea	z_den	z_nea	cddr
0	0.0007845	0.000967	0.0009715	0.0009625	0.00095	0.00099	0.00091	0.00028	0.000967	0.00095	-1.6371	-0.916306	False
50000	0.0013905	0.0011715	0.0012395	0.0010315	0.00085	0.00081	0.00091	0.0006	0.0011475	0.000856667	0.652763	-0.263223	False
100000	0.001298	0.001202	0.001242	0.001242	0.00096	0.00106	0.00106	0.0004	0.00122867	0.00102667	0.303237	0.0304531	False
150000	0.001383	0.001413	0.001463	0.001383	0.00027	0.00032	0.00024	0.00023	0.00141967	0.000276667	0.624424	0.721527	False
200000	0.001408	0.001309	0.001269	0.001419	0.00052	0.00048	0.00063	6e-05	0.00133233	0.000543333	0.71889	0.405539	False
250000	0.0012165	0.0012635	0.0012155	0.0012135	0.00067	0.00062	0.00062	0.0004	0.00123083	0.000636667	-0.00472332	0.0382925	False
300000	0.0010725	0.0012325	0.0013025	0.0013325	0.00085	0.00092	0.00095	0.00012	0.00128917	0.000906667	-0.54885	0.249354	False
350000	0.0019455	0.0018605	0.0018605	0.0018705	0.00091	0.00091	0.00092	0.00018	0.00186383	0.000913333	2.74992	2.32861	False
400000	0.001716	0.001594	0.001634	0.001634	0.00069	0.00073	0.00073	0.00016	0.00162067	0.000716667	1.88272	1.44878	False
450000	0.0009695	0.0009595	0.0009895	0.0009495	0.00039	0.00042	0.00038	0.00017	0.000966167	0.000396667	-0.938052	-0.919322	False
500000	0.0015245	0.0019065	0.0013915	0.0013715	0.00174	0.00051	0.00049	0.00165	0.0015565	0.000913333	1.1591	1.21662	False
550000	0.0010235	0.0013415	0.0008735	0.0008835	0.00112	0.00043	0.00044	0.00081	0.00103283	0.000663333	-0.734005	-0.678109	False
600000	0.0013185	0.0013285	0.0013785	0.0012685	0.00041	0.00046	0.00035	7e-05	0.00132517	0.000406667	0.3807	0.379608	False
650000	0.0012245	0.0012845	0.0013245	0.0013045	0.00018	0.00022	0.0002	0	0.0013045	0.0002	0.025506	0.304832	False
700000	0.0016035	0.0015735	0.0015135	0.0015935	0.00049	0.00071	0.00051	0.00036	0.00156017	0.00057	1.45762	1.22988	False
750000	0.00136	0.0010395	0.0010895	0.0011095	0.00082	0.00087	0.00089	0.00021	0.0010795	0.00086	0.537514	-0.50926	False
800000	0.001561	0.001656	0.001636	0.001656	0.00054	0.00052	0.00054	6e-05	0.00164933	0.000533333	1.29702	1.5525	False
850000	0.0014375	0.0012575	0.0013375	0.0012975	0.00032	0.0004	0.00036	0.00018	0.0012975	0.00036	0.83036	0.279505	False
