drop	rate_den	rate_alt	rate_vin	rate_chag	S
none	0.0233806	0.0226599	0.0240211	0.0243414	0.414576
chr13	0.0234984	0.0235924	0.0249084	0.0251903	0.319161
chr14	0.0215841	0.0229736	0.0238073	0.0238073	0.417582
chr15	0.0239239	0.0240145	0.0255551	0.0255551	0.445287
chr16	0.0208014	0.020081	0.0207114	0.0204412	0.54698
chr17	0.0246691	0.0238588	0.0254794	0.0254794	0.24702
chr18	0.0240123	0.0228344	0.0244654	0.0246466	0.606166
chr19	0.0239346	0.023418	0.0241068	0.0248816	0.390781
chr20	0.0240911	0.0228556	0.0243558	0.0246205	0.462089
chr21	0.0237955	0.0221922	0.0235423	0.0236267	0.364745
chr22	0.0241461	0.0225475	0.0233889	0.0238937	0.349729
