start	den_afr	alt_afr	vin_afr	chag_afr	den_alt	den_vin	den_chag	alt_vin	nea_afr	den_nea	z_den	z_nea	cddr
0	0.0020545	0.0020645	0.0020845	0.0020845	0.00055	0.00057	0.00057	8e-05	0.00207783	0.000563333	1.88776	1.89497	False
50000	0.002205	0.002361	0.002341	0.002321	0.00051	0.00049	0.00047	0.00014	0.002341	0.00049	2.29625	2.60075	False
100000	0.001059	0.0013745	0.001339	0.001339	0.00112	0.00106	0.00106	0.00016	0.00135083	0.00108	-0.814275	-0.0547549	False
150000	0.0012835	0.0016105	0.0017255	0.0015455	0.00108	0.0012	0.00106	0.00062	0.00162717	0.00111333	-0.204926	0.686336	False
200000	0.001783	0.001041	0.001281	0.001693	0.00102	0.0011	0.00075	0.0003	0.00133833	0.000956667	1.15084	-0.0882783	False
250000	0.001999	0.002176	0.002146	0.002216	0.00054	0.00051	0.00058	-3e-05	0.00217933	0.000543333	1.73712	2.16718	False
300000	0.0020375	0.0019135	0.0019635	0.0019435	0.00113	0.00118	0.00116	8e-05	0.00194017	0.00115667	1.84162	1.52576	False
350000	0.0010975	0.0011555	0.0011455	0.0011755	0.00049	0.00048	0.00051	0.00021	0.00115883	0.000493333	-0.709776	-0.569674	False
400000	0.001247	0.00118	0.00114	0.00112	0.00108	0.00104	0.00102	0.0002	0.00114667	0.00104667	-0.303996	-0.602304	False
450000	0.0010715	0.0009645	0.0009505	0.0009445	0.00036	0.00053	0.00034	0.00035	0.000953167	0.00041	-0.780346	-1.12125	False
500000	0.001198	0.001152	0.000968	0.000928	0.00039	0.00092	0.00088	0.00057	0.001016	0.00073	-0.436994	-0.952735	False
550000	0.0009045	0.001147	0.000908	0.0009735	0.00082	0.00077	0.00075	0.00051	0.0010095	0.00078	-1.23363	-0.970167	False
600000	0.0011455	0.0010375	0.0010875	0.0011855	0.00041	0.00046	0.00061	7e-05	0.0011035	0.000493333	-0.579492	-0.718071	False
650000	0.0010125	0.0011995	0.0011595	0.0011595	0.00068	0.00072	0.00072	0.00022	0.00117283	0.000706667	-0.940487	-0.532128	False
700000	0.0012805	0.0010705	0.0010505	0.0011105	0.00102	0.00104	0.00106	0.0003	0.00107717	0.00104	-0.213069	-0.788694	False
750000	0.001209	0.001199	0.001213	0.001253	0.00107	0.00109	0.00113	0.0002	0.00122167	0.00109667	-0.407137	-0.401163	False
800000	0.0009785	0.0009385	0.0009585	0.0009785	0.00042	0.00044	0.00046	0.00016	0.0009585	0.00044	-1.03277	-1.10694	False
850000	0.0010265	0.0010975	0.0011575	0.0011175	0.00072	0.00078	0.00074	0.0002	0.00112417	0.000746667	-0.902488	-0.662646	False
900000	0.0010615	0.0012565	0.0012665	0.0012465	0.00088	0.00089	0.00087	7e-05	0.0012565	0.00088	-0.807489	-0.307745	False
950000	0.000658	0.000987	0.001067	0.001027	0.00068	0.00076	0.00072	2e-05	0.001027	0.00072	-1.90269	-0.923234	False
1000000	0.001217	0.0012205	0.0011805	0.0011505	0.00036	0.00032	0.00029	6e-05	0.00118383	0.000323333	-0.385423	-0.502627	False
1050000	0.0010345	0.0008405	0.0008305	0.0008205	0.00084	0.00083	0.00082	3e-05	0.0008305	0.00083	-0.880774	-1.45022	False
1100000	0.0014625	0.0014415	0.0014615	0.0014615	0.00078	0.0008	0.0008	8e-05	0.00145483	0.000793333	0.280925	0.22416	False
1150000	0.001241	0.001655	0.001705	0.001645	0.00119	0.00124	0.00118	0.00012	0.00166833	0.00120333	-0.320281	0.796739	False
1200000	0.0010955	0.0009335	0.0010335	0.0009835	0.00075	0.00085	0.0008	7e-05	0.0009835	0.0008	-0.715204	-1.0399	False
1250000	0.001155	0.001257	0.001215	0.001281	0.00037	0.0003	0.00038	0.00031	0.001251	0.00035	-0.553707	-0.322495	False
1300000	0.0011615	0.0011415	0.0011815	0.0011815	0.0003	0.00034	0.00034	0.00016	0.00116817	0.000326667	-0.536064	-0.544643	False
1350000	0.001158	0.001138	0.001178	0.001188	0.0006	0.00064	0.00065	0.00016	0.001168	0.00063	-0.545564	-0.54509	False
1400000	0.0010025	0.0009025	0.0011025	0.0010225	0.00036	0.00052	0.00046	0.00038	0.00100917	0.000446667	-0.96763	-0.971061	False
1450000	0.0013395	0.0013295	0.0013095	0.0013595	0.00037	0.00035	0.0004	0.00016	0.00133283	0.000373333	-0.0529278	-0.103029	False
1500000	0.001429	0.001853	0.00132	0.0017205	0.00122	0.0009	0.00138	0.0012	0.00163117	0.00116667	0.189997	0.697063	False
1550000	0.0016435	0.0014455	0.0015355	0.0015055	0.0011	0.00119	0.00116	0.00021	0.0014955	0.00115	0.772204	0.333223	False
1600000	0.00196	0.002405	0.002445	0.002455	0.00083	0.00087	0.00088	8e-05	0.002435	0.00086	1.63126	2.85284	False
1650000	0.0017325	0.0026715	0.0024625	0.0023095	0.00241	0.00213	0.00193	0.00058	0.00248117	0.00215667	1.01377	2.97665	False
1700000	0.0015615	0.0016735	0.0016405	0.0015805	0.00139	0.00133	0.00127	0.00072	0.0016315	0.00133	0.549635	0.697957	False
1750000	0.0015675	0.0021265	0.001901	0.001501	0.00153	0.00145	0.00085	0.00093	0.00184283	0.00127667	0.565921	1.26473	False
1800000	0.0016385	0.0014435	0.001759	0.001689	0.00102	0.00084	0.00078	0.00056	0.0016305	0.00088	0.758632	0.695275	False
1850000	0.0008215	0.000873	0.000854	0.000912	0.0004	0.00038	0.00044	6e-05	0.000879667	0.000406667	-1.45891	-1.31836	False
1900000	0.0015215	0.001502	0.0015425	0.0015325	0.00094	0.00094	0.00093	0.00016	0.00152567	0.000936667	0.441065	0.414126	False
1950000	0.001444	0.0014325	0.001454	0.001414	0.00078	0.00078	0.00074	0.00024	0.0014335	0.000766667	0.230711	0.166947	False
2000000	0.001724	0.001694	0.001724	0.001674	0.00057	0.0006	0.00055	0.00011	0.00169733	0.000573333	0.990701	0.874514	False
2050000	0.0014345	0.0014445	0.0014645	0.0014645	0.00064	0.00067	0.00067	0.00027	0.00145783	0.00066	0.204926	0.232205	False
2100000	0.00121	0.0013825	0.0015145	0.00175	0.00144	0.00154	0.00182	0.00061	0.001549	0.0016	-0.404423	0.476703	False
2150000	0.00131	0.0013	0.0013665	0.00135	0.00049	0.00056	0.00054	0.00023	0.00133883	0.00053	-0.132998	-0.0869373	False
2200000	0.001491	0.001501	0.001571	0.001501	0.00037	0.00044	0.00037	0.00011	0.00152433	0.000393333	0.358281	0.41055	False
2250000	0.001341	0.001302	0.001302	0.001312	0.00054	0.00054	0.00055	6e-05	0.00130533	0.000543333	-0.0488565	-0.17678	False
2300000	0.0013035	0.0013535	0.0013835	0.0013635	0.00031	0.00034	0.00032	9e-05	0.00136683	0.000323333	-0.150641	-0.0118449	False
2350000	0.0008285	0.0008585	0.0009185	0.0008985	0.00031	0.00037	0.00035	0.00032	0.000891833	0.000343333	-1.43991	-1.28573	False
