chrom	start	end	z_den_excess	den_excess	div_den_afr	nea_afr	callable_frac	mean_rm	mean_map20	mean_ur	artifact	n_repl_other_wins	evidence_tier
21	21200000	21250000	13.0289	0.00306306	0.00452882	0.00146576	0.62662	0.482955	0.849424	0	False	2	Moderate
22	46700000	46750000	10.6091	0.00250277	0.0040693	0.00156653	0.5581	0.474403	0.739324	0	False	2	Moderate
21	24050000	24100000	9.43357	0.00223058	0.00420806	0.00197748	0.49766	0.609053	0.7507	1	True	2	Artifact-likely
21	19250000	19300000	8.96778	0.00212273	0.00381053	0.0016878	0.45166	0.76947	0.612354	1	True	2	Artifact-likely
21	46250000	46300000	8.67682	0.00205536	0.00414823	0.00209287	0.55258	0.527869	0.751182	0.747541	False	2	Moderate
21	43900000	43950000	7.29144	0.00173459	0.00263541	0.000900823	0.61602	0.430303	0.856771	0	False	2	Moderate
22	50550000	50600000	6.11928	0.00146318	0.00260083	0.00113765	0.52842	0.575342	0.664228	0	True	2	Artifact-likely
22	39650000	39700000	5.60636	0.00134442	0.00286339	0.00151897	0.5697	0.606936	0.687135	1	True	1	Artifact-likely
21	21800000	21850000	5.35294	0.00128574	0.00420165	0.00291591	0.51988	0.683824	0.640152	0	True	2	Artifact-likely
21	43800000	43850000	5.25968	0.00126415	0.00310602	0.00184187	0.66534	0.445455	0.84255	1	True	2	Artifact-likely
22	37900000	37950000	5.17433	0.00124438	0.00286045	0.00161607	0.47174	0.676617	0.589316	1	True	2	Artifact-likely
21	46300000	46350000	5.14255	0.00123703	0.00304754	0.00181051	0.55328	0.423387	0.779046	0	False	2	Moderate
21	19350000	19400000	4.99076	0.00120188	0.00247183	0.00126995	0.52258	0.635922	0.678218	0	True	1	Artifact-likely
22	39350000	39400000	4.96477	0.00119586	0.00238596	0.0011901	0.32288	0.572254	0.645022	0	True	1	Artifact-likely
22	36800000	36850000	4.89279	0.0011792	0.00243015	0.00125095	0.37512	0.762162	0.398045	0	True	2	Artifact-likely
21	29550000	29600000	4.82284	0.001163	0.00297237	0.00180937	0.48312	0.725	0.659251	1	True	2	Artifact-likely
21	45300000	45350000	4.76607	0.00114985	0.00192935	0.000779496	0.50196	0.603306	0.734594	0	True	2	Artifact-likely
21	22400000	22450000	4.63103	0.00111859	0.00373536	0.00261677	0.57882	0.385542	0.822314	0	False	1	Moderate
21	25500000	25550000	4.57926	0.0011066	0.00365747	0.00255087	0.59506	0.368421	0.809984	0	False	2	Moderate
21	42300000	42350000	4.56047	0.00110225	0.00271913	0.00161688	0.4709	0.69802	0.721455	0.564356	True	1	Artifact-likely
21	25850000	25900000	4.55073	0.00109999	0.00238969	0.0012897	0.54578	0.6	0.721354	0	False	2	Moderate
21	43600000	43650000	4.52167	0.00109327	0.00257476	0.00148149	0.5791	0.574586	0.685714	1	True	2	Artifact-likely
21	19450000	19500000	4.50814	0.00109013	0.00325331	0.00216318	0.49128	0.639175	0.708115	0	True	2	Artifact-likely
21	20300000	20350000	4.43864	0.00107404	0.00270433	0.00163029	0.60136	0.440945	0.804462	0	False	2	Moderate
21	35750000	35800000	4.37185	0.00105858	0.00262945	0.00157087	0.56902	0.541063	0.746269	0	False	1	Moderate
21	26150000	26200000	4.27459	0.00103606	0.00257289	0.00153683	0.6411	0.57754	0.811261	0	False	1	Moderate
21	41600000	41650000	4.23764	0.0010275	0.00251857	0.00149107	0.56188	0.668539	0.690613	1	True	1	Artifact-likely
22	50500000	50550000	4.23327	0.00102649	0.00221563	0.00118914	0.4663	0.651934	0.62004	0	True	2	Artifact-likely
