chrom	start	end	anc_valid_bp	hum_sub	repeat_bp	mask_bp	sub_rate	repeat_frac	anc_cov
20	0	100000	7830	55	29352	18936	0.00702427	0.29352	0.413498
20	100000	200000	31275	199	72905	41699	0.00636291	0.72905	0.750018
20	200000	300000	45504	306	66588	48595	0.00672468	0.66588	0.936393
20	300000	400000	42839	299	64049	47791	0.00697962	0.64049	0.896382
20	400000	500000	45676	312	47337	49142	0.00683072	0.47337	0.92947
20	500000	600000	51096	334	62802	52940	0.00653672	0.62802	0.965168
20	600000	700000	58787	453	56061	60960	0.00770579	0.56061	0.964354
20	700000	800000	29046	283	74809	37151	0.00974317	0.74809	0.781836
20	800000	900000	54277	383	50716	60502	0.0070564	0.50716	0.897111
20	900000	1000000	59002	422	57160	62263	0.0071523	0.5716	0.947625
20	1000000	1100000	54326	357	62839	61658	0.00657144	0.62839	0.881086
20	1100000	1200000	57729	411	56616	59671	0.00711947	0.56616	0.967455
20	1200000	1300000	59218	335	44875	59863	0.00565706	0.44875	0.989225
20	1300000	1400000	50992	372	60096	53053	0.00729526	0.60096	0.961152
20	1400000	1500000	59645	446	58133	60488	0.00747758	0.58133	0.986063
20	1500000	1600000	27073	222	57222	35109	0.00820005	0.57222	0.771113
20	1600000	1700000	18695	150	58506	48717	0.00802354	0.58506	0.383747
20	1700000	1800000	39138	309	63878	53659	0.00789514	0.63878	0.729384
20	1800000	1900000	65097	430	48780	66284	0.00660553	0.4878	0.982092
20	1900000	2000000	65980	480	51523	66845	0.00727493	0.51523	0.98706
20	2000000	2100000	54886	380	63569	56752	0.00692344	0.63569	0.96712
20	2100000	2200000	60467	420	49801	61940	0.00694594	0.49801	0.976219
20	2200000	2300000	49043	372	57354	51257	0.00758518	0.57354	0.956806
20	2300000	2400000	58017	450	57955	61061	0.00775635	0.57955	0.950148
20	2400000	2500000	47774	371	62566	49341	0.00776573	0.62566	0.968241
20	2500000	2600000	50372	346	58820	51652	0.0068689	0.5882	0.975219
20	2600000	2700000	51150	342	54518	52160	0.00668622	0.54518	0.980637
20	2700000	2800000	44280	301	57960	53586	0.00679765	0.5796	0.826335
20	2800000	2900000	44169	211	61385	46223	0.00477711	0.61385	0.955563
20	2900000	3000000	47491	211	62305	48925	0.00444295	0.62305	0.97069
20	3000000	3100000	44852	308	53219	47373	0.00686703	0.53219	0.946784
20	3100000	3200000	43422	238	51141	44025	0.00548109	0.51141	0.986303
20	3200000	3300000	48724	307	41753	50349	0.0063008	0.41753	0.967725
20	3300000	3400000	45809	214	57196	46554	0.00467157	0.57196	0.983997
20	3400000	3500000	39190	253	73694	42134	0.00645573	0.73694	0.930128
20	3500000	3600000	52295	238	56331	52820	0.0045511	0.56331	0.990061
20	3600000	3700000	58000	425	36912	60771	0.00732759	0.36912	0.954403
20	3700000	3800000	47396	284	38704	52752	0.00599207	0.38704	0.898468
20	3800000	3900000	31820	184	60369	35384	0.00578253	0.60369	0.899277
20	3900000	4000000	45163	226	55794	46858	0.0050041	0.55794	0.963827
20	4000000	4100000	41968	308	66392	52341	0.00733892	0.66392	0.801819
20	4100000	4200000	49392	279	55488	50987	0.00564869	0.55488	0.968718
20	4200000	4300000	48954	360	52470	57147	0.00735384	0.5247	0.856633
20	4300000	4400000	58100	461	59758	58676	0.0079346	0.59758	0.990183
20	4400000	4500000	58035	390	53064	60280	0.00672008	0.53064	0.962757
20	4500000	4600000	54999	422	65583	56797	0.00767287	0.65583	0.968343
20	4600000	4700000	46993	313	65479	47501	0.00666057	0.65479	0.989305
20	4700000	4800000	52586	454	46581	55451	0.00863348	0.46581	0.948333
20	4800000	4900000	58809	389	39532	60872	0.00661463	0.39532	0.966109
20	4900000	5000000	43126	259	52489	45092	0.00600566	0.52489	0.9564
20	5000000	5100000	31906	209	68420	33026	0.00655049	0.6842	0.966087
20	5100000	5200000	53131	363	45721	54125	0.00683217	0.45721	0.981635
20	5200000	5300000	38871	304	65226	42069	0.00782074	0.65226	0.923982
20	5300000	5400000	53978	324	58934	54844	0.00600245	0.58934	0.98421
20	5400000	5500000	39554	361	57647	41064	0.00912676	0.57647	0.963228
20	5500000	5600000	37167	261	48670	43782	0.00702236	0.4867	0.848911
20	5600000	5700000	35822	262	67764	37262	0.00731394	0.67764	0.961355
20	5700000	5800000	33827	208	63100	38539	0.00614893	0.631	0.877734
20	5800000	5900000	55682	353	52138	56286	0.00633957	0.52138	0.989269
20	5900000	6000000	57374	336	40703	57944	0.00585631	0.40703	0.990163
20	6000000	6100000	50693	349	49716	53070	0.00688458	0.49716	0.95521
20	6100000	6200000	50008	335	64365	50716	0.00669893	0.64365	0.98604
20	6200000	6300000	54460	328	49671	57517	0.00602277	0.49671	0.94685
20	6300000	6400000	51429	366	57455	52700	0.00711661	0.57455	0.975882
20	6400000	6500000	61221	417	41204	61825	0.00681139	0.41204	0.99023
20	6500000	6600000	61178	402	52707	61883	0.00657099	0.52707	0.988608
20	6600000	6700000	65066	433	35005	65992	0.00665478	0.35005	0.985968
20	6700000	6800000	63057	431	38324	63620	0.00683509	0.38324	0.991151
20	6800000	6900000	64252	392	36998	64890	0.00610098	0.36998	0.990168
20	6900000	7000000	59677	487	43410	60538	0.0081606	0.4341	0.985778
20	7000000	7100000	56899	449	61804	57642	0.00789118	0.61804	0.98711
20	7100000	7200000	60821	430	36720	61554	0.00706993	0.3672	0.988092
20	7200000	7300000	60347	419	43803	61117	0.00694318	0.43803	0.987401
20	7300000	7400000	61166	472	52273	62091	0.00771671	0.52273	0.985103
20	7400000	7500000	52544	388	53955	59014	0.00738429	0.53955	0.890365
20	7500000	7600000	49055	357	73255	53172	0.00727755	0.73255	0.922572
20	7600000	7700000	58936	353	45624	59445	0.00598955	0.45624	0.991437
20	7700000	7800000	57332	375	62201	58204	0.00654085	0.62201	0.985018
20	7800000	7900000	62375	359	36288	62924	0.00575551	0.36288	0.991275
20	7900000	8000000	56472	395	41428	57307	0.00699462	0.41428	0.985429
20	8000000	8100000	57763	329	52209	59529	0.00569569	0.52209	0.970334
20	8100000	8200000	63977	413	43749	64678	0.00645544	0.43749	0.989162
20	8200000	8300000	66674	419	39977	67251	0.00628431	0.39977	0.99142
20	8300000	8400000	60615	349	43470	61186	0.00575765	0.4347	0.990668
20	8400000	8500000	58115	378	42674	60484	0.00650434	0.42674	0.960833
20	8500000	8600000	57049	376	48874	57768	0.00659083	0.48874	0.987554
20	8600000	8700000	63943	399	37705	64527	0.00623993	0.37705	0.99095
20	8700000	8800000	59417	383	39625	61353	0.00644597	0.39625	0.968445
20	8800000	8900000	60730	322	46068	63009	0.00530216	0.46068	0.963831
20	8900000	9000000	58967	379	47940	59733	0.00642732	0.4794	0.987176
20	9000000	9100000	57149	353	45564	58162	0.00617684	0.45564	0.982583
20	9100000	9200000	61958	279	38117	62481	0.00450305	0.38117	0.991629
20	9200000	9300000	64352	346	37981	64919	0.00537668	0.37981	0.991266
20	9300000	9400000	62971	379	38491	63541	0.00601864	0.38491	0.991029
20	9400000	9500000	58971	314	39513	61915	0.00532465	0.39513	0.952451
20	9500000	9600000	65771	397	44738	66619	0.00603609	0.44738	0.987271
20	9600000	9700000	62160	356	47202	62769	0.00572716	0.47202	0.990298
20	9700000	9800000	60516	411	52533	61033	0.00679159	0.52533	0.991529
20	9800000	9900000	55462	333	56046	56521	0.00600411	0.56046	0.981264
20	9900000	10000000	39400	264	57923	56944	0.00670051	0.57923	0.691908
20	10000000	10100000	61577	368	44089	62165	0.00597626	0.44089	0.990541
20	10100000	10200000	59421	364	50817	60097	0.00612578	0.50817	0.988752
20	10200000	10300000	66435	352	33166	69101	0.00529841	0.33166	0.961419
20	10300000	10400000	52640	292	52554	53132	0.00554711	0.52554	0.99074
20	10400000	10500000	54861	301	47996	56477	0.00548659	0.47996	0.971387
20	10500000	10600000	63511	329	37879	64064	0.00518021	0.37879	0.991368
20	10600000	10700000	67875	346	24956	68622	0.00509761	0.24956	0.989114
20	10700000	10800000	63415	422	39709	65314	0.00665458	0.39709	0.970925
20	10800000	10900000	64755	360	45121	65329	0.00555942	0.45121	0.991214
20	10900000	11000000	66582	390	35739	67213	0.00585744	0.35739	0.990612
20	11000000	11100000	61748	337	40383	64074	0.00545767	0.40383	0.963698
20	11100000	11200000	64547	464	37789	65196	0.00718856	0.37789	0.990045
20	11200000	11300000	61381	429	43880	67997	0.00698913	0.4388	0.902702
20	11300000	11400000	57536	333	57650	59852	0.00578768	0.5765	0.961305
20	11400000	11500000	54427	387	54425	54933	0.00711044	0.54425	0.990789
20	11500000	11600000	47770	321	52263	57424	0.0067197	0.52263	0.831882
20	11600000	11700000	58152	338	51615	58698	0.00581235	0.51615	0.990698
20	11700000	11800000	57449	311	60235	58351	0.0054135	0.60235	0.984542
20	11800000	11900000	61327	347	51353	61879	0.00565819	0.51353	0.991079
20	11900000	12000000	68163	391	38853	69368	0.00573625	0.38853	0.982629
20	12000000	12100000	62874	373	49306	63477	0.0059325	0.49306	0.9905
20	12100000	12200000	55245	365	65067	55870	0.00660693	0.65067	0.988813
20	12200000	12300000	59464	412	56933	60126	0.00692856	0.56933	0.98899
20	12300000	12400000	55982	394	52731	57831	0.00703798	0.52731	0.968028
20	12400000	12500000	47208	318	59023	50660	0.00673615	0.59023	0.931859
20	12500000	12600000	55622	416	66666	56460	0.00747906	0.66666	0.985158
20	12600000	12700000	58862	427	50809	59587	0.00725426	0.50809	0.987833
20	12700000	12800000	52860	305	55564	53711	0.00576996	0.55564	0.984156
20	12800000	12900000	66220	496	43899	66885	0.00749018	0.43899	0.990058
20	12900000	13000000	57266	360	51663	57830	0.00628645	0.51663	0.990247
20	13000000	13100000	63316	368	45836	64194	0.00581212	0.45836	0.986323
20	13100000	13200000	61534	329	43423	64801	0.00534664	0.43423	0.949584
20	13200000	13300000	61820	384	43206	62439	0.00621158	0.43206	0.990086
20	13300000	13400000	54580	308	56731	55026	0.00564309	0.56731	0.991895
20	13400000	13500000	53791	328	53722	54242	0.00609767	0.53722	0.991685
20	13500000	13600000	49947	220	60315	50802	0.00440467	0.60315	0.98317
20	13600000	13700000	41693	263	58012	44159	0.00630801	0.58012	0.944156
20	13700000	13800000	56897	250	43521	58105	0.0043939	0.43521	0.97921
20	13800000	13900000	54319	236	50140	54777	0.0043447	0.5014	0.991639
20	13900000	14000000	47386	223	63866	47848	0.00470603	0.63866	0.990344
20	14000000	14100000	49291	204	61011	49988	0.00413869	0.61011	0.986057
20	14100000	14200000	46535	252	56850	48920	0.00541528	0.5685	0.951247
20	14200000	14300000	47053	210	50702	49527	0.00446305	0.50702	0.950047
20	14300000	14400000	59005	340	44765	60341	0.00576222	0.44765	0.977859
20	14400000	14500000	55160	344	51703	55720	0.0062364	0.51703	0.98995
20	14500000	14600000	65228	345	36330	66990	0.00528914	0.3633	0.973698
