chrom	start	end	n_pol	n_der_any	pat_den_only	pat_nea_all	pat_nea_any	pat_all_arch	pat_alt_only	pat_vin_only	pat_chag_only	callable_common	callable_den	callable_alt	callable_vin	callable_chag	div_den_alt	div_den_vin	div_den_chag	div_alt_vin	div_alt_chag	div_vin_chag	div_den_afr	div_den_eur	div_alt_afr	div_alt_eur	div_vin_afr	div_vin_eur	div_chag_afr	div_chag_eur	mean_map20	mean_rm	mean_ur	mean_bsc	n_sites	callable_frac	callable_frac_den	anc_valid_bp	hum_sub	sub_rate	repeat_frac	R_den_afr	R_alt_afr	R_vin_afr	R_chag_afr	R_nea_afr	f_nea_all	f_den_only	f_all_arch	f_alt_only	f_vin_only	f_chag_only	z_den_afr	p_den_afr	cddr	low_quality	special_region
6	28000000	28050000	641	335	12	1	5	0	3	0	1	28885	34456	34356	33701	33828	0.00181755	0.00181755	0.00192141	0.00010386	0.00031158	0.00027696	0.00151577	0.00144381	0.00119315	0.00141568	0.00119288	0.00141175	0.00128111	0.00151342	0.673611	0.515873	0	442.287	654	0.5777	0.5777	14331	62	0.00432629	0.32342	0.350362	0.275789	0.275729	0.296122	0.282547	0.00298507	0.0358209	0	0.00895522	0	0.00298507	0.394288	0.717538	False	False	MHC
6	28050000	28100000	589	316	17	0	2	0	2	0	0	28184	33095	33011	32678	32139	0.00166761	0.00170309	0.00166761	0.000106443	0.000177406	0.000212887	0.0013553	0.00124097	0.0011473	0.00120938	0.00118265	0.00124289	0.00115147	0.00121637	0.728856	0.477612	0	431.881	596	0.56368	0.56368	28004	178	0.00635623	0.44856	0.213223	0.180501	0.186062	0.181155	0.182573	0	0.0537975	0	0.00632911	0	0	0.0711174	0.944615	False	False	MHC
6	28100000	28150000	703	395	4	1	1	0	0	0	0	30128	36802	36463	36422	35349	0.00167618	0.00174257	0.00177576	9.95751e-05	0.000165959	0.000165959	0.00107732	0.00107822	0.00129337	0.00153624	0.00133922	0.00158573	0.00136742	0.00162407	0.710417	0.423729	0	437.825	716	0.60256	0.60256	29734	127	0.0042712	0.39858	0.252229	0.302812	0.313546	0.320148	0.312169	0.00253165	0.0101266	0	0	0	0	-0.488694	0.588308	False	False	MHC
6	28150000	28200000	632	326	10	0	1	0	1	0	0	27374	32929	33356	32288	31832	0.0011142	0.0011142	0.00115073	7.3062e-05	0.000219186	0.000182655	0.00102715	0.000932531	0.00086832	0.000835906	0.000868043	0.000831946	0.00090499	0.000874582	0.612939	0.715909	0	482.524	641	0.54748	0.54748	26630	107	0.00401802	0.56176	0.255636	0.216107	0.216037	0.225233	0.219126	0	0.0306748	0	0.00306748	0	0	-0.589731	0.515692	False	False	MHC
6	28200000	28250000	636	294	14	0	2	0	1	1	0	28357	33684	34068	33804	33154	0.000775823	0.00082872	0.000740558	0.000193956	0.000105794	0.000123426	0.000935628	0.000846098	0.000643619	0.000351617	0.000699771	0.000444021	0.000611743	0.000357718	0.774876	0.542857	0	465.757	641	0.56714	0.56714	28199	99	0.00351076	0.44404	0.266503	0.183328	0.199322	0.174248	0.185632	0	0.047619	0	0.00340136	0.00340136	0	-0.774045	0.378462	False	False	MHC
6	28250000	28300000	529	253	8	0	4	0	3	0	1	24967	29790	29754	29241	29145	0.00110145	0.00116153	0.00112148	0.000180238	0.000140185	0.000100132	0.000903993	0.00108523	0.000840774	0.000441238	0.000900244	0.000491321	0.000860344	0.000452621	0.656863	0.557143	0	506.571	533	0.49934	0.49934	23202	99	0.00426687	0.48974	0.211863	0.197047	0.210985	0.201633	0.203222	0	0.0316206	0	0.0118577	0	0.00395257	-0.837753	0.332308	False	False	MHC
6	28300000	28350000	537	272	5	0	1	0	1	0	0	25907	31657	31882	31270	31090	0.00137029	0.00137029	0.00138959	3.85996e-05	5.78994e-05	1.92998e-05	0.00116511	0.00129989	0.00110994	0.000573474	0.0011098	0.000570711	0.00112895	0.000587247	0.6581	0.703704	0	564.481	537	0.51814	0.51814	25694	88	0.00342492	0.61468	0.340186	0.324079	0.324036	0.329628	0.325914	0	0.0183824	0	0.00367647	0	0	-0.311897	0.744615	False	False	MHC
6	28350000	28400000	559	314	6	0	4	0	2	0	1	28099	33235	33423	32799	32675	0.00192178	0.00193957	0.00192178	0.000106765	0.000106765	8.89711e-05	0.00112418	0.00148448	0.00127206	0.000901997	0.00128972	0.00091767	0.00127192	0.000899377	0.676997	0.512397	0	582.149	561	0.56198	0.56198	27897	103	0.00369215	0.45338	0.304477	0.344531	0.349314	0.344494	0.346113	0	0.0191083	0	0.00636943	0	0.00318471	-0.394334	0.668923	False	False	MHC
6	28400000	28450000	685	353	6	0	3	0	3	0	0	28979	33236	33279	33482	33118	0.000793678	0.000741917	0.000741917	5.17616e-05	5.17616e-05	0	0.00076651	0.000749394	0.000726547	0.000710042	0.000674785	0.00065828	0.000674785	0.00065828	0.684524	0.457627	0	605.203	688	0.57958	0.57958	28657	109	0.00380361	0.50134	0.201522	0.191015	0.177407	0.177407	0.181943	0	0.0169972	0	0.00849858	0	0	-1.11463	0.168615	False	False	MHC
6	28450000	28500000	664	359	4	0	2	0	0	1	0	29759	34189	34081	33989	33986	0.000621661	0.000672066	0.000655264	6.72066e-05	6.72066e-05	5.04049e-05	0.000653386	0.000673595	0.000880886	0.000888363	0.000931036	0.00093489	0.000914107	0.00091615	0.590136	0.610169	0	615.593	672	0.59518	0.59518	29515	125	0.00423513	0.43514	0.154278	0.207995	0.219836	0.215839	0.214557	0	0.0111421	0	0	0.00278552	0	-1.34245	0.0676923	False	False	MHC
