chrom	start	end	n_pol	n_der_any	pat_den_only	pat_nea_all	pat_nea_any	pat_all_arch	pat_alt_only	pat_vin_only	pat_chag_only	callable_common	callable_den	callable_alt	callable_vin	callable_chag	div_den_alt	div_den_vin	div_den_chag	div_alt_vin	div_alt_chag	div_vin_chag	div_den_afr	div_den_eur	div_alt_afr	div_alt_eur	div_vin_afr	div_vin_eur	div_chag_afr	div_chag_eur	mean_map20	mean_rm	mean_ur	mean_bsc	n_sites	callable_frac	callable_frac_den	anc_valid_bp	hum_sub	sub_rate	repeat_frac	R_den_afr	R_alt_afr	R_vin_afr	R_chag_afr	R_nea_afr	f_nea_all	f_den_only	f_all_arch	f_alt_only	f_vin_only	f_chag_only	z_den_afr	p_den_afr	cddr	low_quality
13	63600000	63700000	1885	1283	47	1	110	6	107	0	0	45120	53570	53143	52403	53254	0.00884309	0.00762965	0.00761857	0.00801197	0.00800089	0.000277039	0.00777587	0.0077835	0.00853155	0.00850284	0.000867207	0.000826042	0.000866166	0.000808684	0.876826	0.347204	0	963.403	1899	0.4512	0.4512	42809	347	0.00810577	0.43298	0.9593	1.05253	0.106986	0.106858	0.422124	0.000779423	0.0366329	0.00467654	0.0833983	0	0	14.5059	0.00215054	True	False
13	86300000	86400000	1863	959	31	11	14	0	0	0	1	63068	72832	74340	74053	73546	0.00371821	0.00379749	0.00378163	0.000126847	7.92795e-05	0.000103063	0.00358885	0.00326524	0.00136016	0.00180395	0.00143464	0.0018803	0.00141878	0.00186444	0.816518	0.407407	1	791.457	1879	0.63068	0.63068	62311	418	0.00670829	0.35922	0.534987	0.202758	0.213861	0.211497	0.209372	0.0114703	0.0323253	0	0	0	0.00104275	4.99251	0.00430108	True	False
13	62000000	62100000	1744	948	29	21	27	9	2	4	0	60415	71589	70881	71426	70099	0.00163867	0.00165522	0.00161384	0.000140694	8.27609e-05	0.000124141	0.00349002	0.00333129	0.00360254	0.00344319	0.00362621	0.00346818	0.00361499	0.00345948	0.787917	0.5	0.852018	867.064	1896	0.60415	0.60415	51804	344	0.00664041	0.45591	0.525574	0.542518	0.546082	0.544392	0.544331	0.0221519	0.0305907	0.00949367	0.0021097	0.00421941	0	4.76796	0.00645161	True	False
13	113000000	113100000	1614	915	20	10	17	21	6	1	0	48894	57623	58243	57781	57351	0.00111466	0.00116579	0.00106353	0.000317012	0.000153393	0.000245429	0.00324378	0.00343079	0.00302132	0.00309189	0.00295754	0.00303011	0.00297501	0.00306095	0.803114	0.582902	0.106218	993.541	1629	0.48894	0.48894	46503	383	0.00823603	0.62385	0.393852	0.366842	0.359097	0.361218	0.362386	0.010929	0.0218579	0.0229508	0.00655738	0.0010929	0	4.20846	0.00860215	True	False
13	29900000	30000000	1484	850	36	9	17	2	3	0	0	44528	52340	52837	52692	52615	0.00329006	0.0034585	0.00332375	0.000763564	0.00020212	0.00070742	0.0030617	0.00336065	0.0022813	0.00246992	0.00228293	0.00234421	0.00226622	0.0024838	0.627365	0.708411	0.676636	960.398	1505	0.44528	0.44528	43850	312	0.00711517	0.63459	0.430306	0.320625	0.320854	0.318505	0.319995	0.0105882	0.0423529	0.00235294	0.00352941	0	0	3.79476	0.0107527	True	False
13	112500000	112600000	2117	1162	38	30	46	4	7	1	1	58096	68510	69170	68629	68228	0.00259054	0.00259054	0.002668	0.000370077	0.000404503	0.000309832	0.00288815	0.00327857	0.00316056	0.00324409	0.00315175	0.00323484	0.003229	0.00331262	0.837542	0.515663	0	994	2148	0.58096	0.58096	57285	501	0.00874574	0.37448	0.330236	0.361383	0.360376	0.369209	0.363656	0.0258176	0.0327022	0.00344234	0.0060241	0.000860585	0.000860585	3.40045	0.0129032	True	False
13	107400000	107500000	1830	977	30	11	19	0	4	0	1	57922	67347	67295	67826	66821	0.00236525	0.00238251	0.00210628	0.000189911	0.000492041	0.000509306	0.00287851	0.00281884	0.00209942	0.00163099	0.00211084	0.00164009	0.00215905	0.00179194	0.764159	0.60101	0	981.112	1892	0.57922	0.57922	55372	430	0.00776566	0.44483	0.370672	0.270347	0.271818	0.278025	0.273397	0.011259	0.0307062	0	0.00409417	0	0.00102354	3.37854	0.0150538	True	False
13	64700000	64800000	1517	779	30	9	13	5	3	0	0	53249	61625	62087	62250	61343	0.000723018	0.000723018	0.000751188	5.63391e-05	0.000122068	0.000122068	0.00282466	0.00210102	0.00260629	0.00187385	0.00260629	0.00187391	0.0026344	0.00190208	0.762435	0.561224	0	959.332	1526	0.53249	0.53249	51561	319	0.00618685	0.56166	0.456558	0.421263	0.421263	0.425807	0.422778	0.0115533	0.0385109	0.00641849	0.00385109	0	0	3.25617	0.0172043	True	False
13	24600000	24700000	1954	1127	18	8	12	4	3	0	0	60774	70780	71221	70947	70161	0.0011189	0.00121763	0.00138217	0.00014809	0.000361997	0.000378451	0.00281121	0.00284076	0.00295772	0.00306132	0.00305638	0.00315947	0.00306199	0.00321259	0.777265	0.463542	0	975.583	1970	0.60774	0.60774	60083	469	0.00780587	0.40333	0.36014	0.37891	0.391549	0.392267	0.387575	0.00709849	0.0159716	0.00354925	0.00266193	0	0	3.22561	0.0193548	True	False
13	23500000	23600000	1091	617	13	3	18	4	4	0	7	31084	36910	37440	37346	37151	0.0016568	0.00152812	0.0025415	0.000949041	0.00180157	0.00131901	0.0027801	0.00284484	0.00270628	0.00267184	0.00269641	0.00278526	0.00274624	0.00283967	0.692073	0.594444	0	981.717	1117	0.31084	0.31084	29963	447	0.0149184	0.52972	0.186353	0.181405	0.180744	0.184084	0.182078	0.00486224	0.0210697	0.00648298	0.00648298	0	0.0113452	3.15493	0.0215054	True	False
