pattern	total	per_window	dispersion	dispersion_se	autocorr	autocorr_se
pat_nea_all	2697	4.22727	3.55435	0.483297	0.328227	0.0431496
pat_den_only	7328	11.4859	2.70677	0.272147	0.290558	0.0626967
pat_all_arch	946	1.48276	4.98046	0.438644	0.324883	0.0351755
pat_alt_only	1260	1.97492	2.0253	0.168773	0.275247	0.0325328
pat_vin_only	203	0.318182	1.53398	0.144218	0.134719	0.0391697
pat_chag_only	95	0.148903	1.23006	0.0667358	0.161803	0.0254348
