chrom	start	end	z_den_afr	div_den_afr	category	n_nea_shared	nea_detail	exc_alt_afr	exc_vin_afr	exc_chag_afr	z_den_alt	z_den_vin	z_den_chag	mean_map20	mean_rm	mean_ur	callable_frac_den
17	3050000	3100000	11.4165	0.00727192	3	0	alt:denonly;vin:denonly;chag:denonly	-21.3765	-20.8419	-20.9406	10.1454	10.3437	10.2432	0.644372	0.702564	0	0.34196
19	15750000	15800000	8.84126	0.00643482	3	0	alt:denonly;vin:denonly;chag:ambig	-2.57053	-2.77462	2.01793	6.47624	7.32688	5.26766	0.70082	0.107306	0	0.31708
16	8700000	8750000	6.91674	0.00635211	3	0	alt:denonly;vin:denonly;chag:denonly	-15.2782	-15.6223	-15.3567	9.52653	9.27149	9.38764	0.688079	0.621622	0	0.56502
17	62300000	62350000	6.76668	0.00482376	1	3	alt:shared;vin:shared;chag:shared	2.45387	2.7177	2.79484	0.665496	0.673067	0.671602	0.735968	0.472789	0	0.56942
20	24900000	24950000	6.76495	0.00469079	2	2	alt:ambig;vin:shared;chag:shared	1.52048	2.07926	2.05535	0.380765	0.329296	0.292836	0.737226	0.552727	1	0.43108
16	12650000	12700000	6.65128	0.00616583	3	0	alt:ambig;vin:ambig;chag:ambig	8.70801	8.97659	9.0199	9.01186	9.19351	8.878	0.755624	0.598802	0	0.51244
19	15800000	15850000	6.3233	0.00501402	3	0	alt:denonly;vin:denonly;chag:denonly	-4.42585	-4.99273	-6.46228	5.96086	5.46867	4.58934	0.704042	0.754545	0	0.34054
16	1850000	1900000	6.12655	0.00579762	3	0	alt:denonly;vin:denonly;chag:denonly	-3.6847	-10.9996	-11.2633	5.3325	9.57101	9.43983	0.790429	0.527322	0	0.43032
17	700000	750000	6.08911	0.00446701	3	0	alt:denonly;vin:denonly;chag:denonly	-3.60136	-3.55526	-3.1479	6.79106	6.85866	6.94708	0.678609	0.634761	0	0.4334
19	29150000	29200000	6.06448	0.00486797	1	3	alt:shared;vin:shared;chag:shared	2.91918	3.24981	3.33061	-0.633515	-0.615363	-0.603632	0.730903	0.663265	1	0.47862
21	21200000	21250000	5.66537	0.00452882	3	0	alt:denonly;vin:denonly;chag:denonly	-9.98033	-9.89588	-9.37471	6.46782	6.44594	6.5973	0.849424	0.482955	0	0.62662
19	52700000	52750000	5.56808	0.00458788	3	0	alt:denonly;vin:denonly;chag:denonly	-8.92404	-11.0776	-6.70478	5.65405	6.1278	5.06438	0.796027	0.605863	0	0.57754
21	25400000	25450000	5.34331	0.00435698	1	3	alt:shared;vin:shared;chag:shared	3.21615	3.20512	2.74239	-0.571048	-0.622958	-0.827747	0.748611	0.479866	0	0.61318
20	61150000	61200000	5.16088	0.0039079	3	0	alt:ambig;vin:ambig;chag:denonly	1.68361	1.41182	0.527157	0.430961	-0.0352074	2.71563	0.894261	0.369048	0	0.64712
21	24050000	24100000	5.06419	0.00420806	3	0	alt:denonly;vin:denonly;chag:denonly	-6.37567	-6.74605	-6.56675	5.8269	5.64315	5.6575	0.7507	0.609053	1	0.49766
