chrom	start	end	callable_common	callable_den	callable_alt	callable_vin	callable_chag	div_den_alt	div_den_vin	div_den_chag	div_alt_vin	div_alt_chag	div_vin_chag	div_den_afr	div_den_eur	div_alt_afr	div_alt_eur	div_vin_afr	div_vin_eur	div_chag_afr	div_chag_eur	mean_map20	mean_rm	mean_ur	mean_bsc	n_sites	callable_frac	callable_frac_den	z_den_afr	p_den_afr	cddr	low_quality
22	39280000	39300000	6313	7643	7671	7718	7438	0.00229685	0.00229685	0.00229685	0	0	0	0.00568481	0.00434198	0.00529593	0.00429965	0.00529593	0.00429965	0.00529593	0.00429965	0.577044	0.763636	0	789.02	188	0.31565	0.31565	6.29935	0.00133958	True	False
22	49000000	49020000	12011	14092	14022	14107	14094	0.00283074	0.00283074	0.00283074	0.000999084	0.000999084	0.000166514	0.00491488	0.00495195	0.00443054	0.00478441	0.00472187	0.00487161	0.00473371	0.00487724	0.820602	0.378049	0	994	542	0.60055	0.60055	5.16303	0.00267917	True	False
22	49320000	49340000	12709	14250	14433	14697	14836	0.000865528	0.000786844	0.000983555	7.86844e-05	0.000196711	0.000196711	0.00489247	0.00379688	0.00465422	0.0034981	0.00457554	0.00341941	0.00477225	0.00361612	0.716667	0.674419	0	994	672	0.63545	0.63545	5.12996	0.00401875	True	False
22	24160000	24180000	11554	13474	13669	13604	13578	0.00125498	0.00116843	0.0012117	0.00025965	0.00025965	0.000216375	0.00477404	0.00514264	0.00465894	0.00503451	0.00470346	0.00506823	0.00472218	0.00509997	0.740809	0.5	1	732.667	435	0.5777	0.5777	4.95517	0.00535834	True	False
22	21000000	21020000	7614	8708	8916	8921	8885	0.00492514	0.00499081	0.00499081	6.56685e-05	6.56685e-05	0.000131337	0.00451967	0.00469644	0.00154318	0.00153303	0.00160885	0.0015987	0.00160885	0.0015987		0.786408	0		298	0.3807	0.3807	4.57976	0.00669792	True	False
22	36920000	36940000	8201	9706	9707	9863	9542	0.00146324	0.00158517	0.00158517	0.000609682	0.000365809	0.000487745	0.00451951	0.0051323	0.00407532	0.00469933	0.00429345	0.00494004	0.0041932	0.00481872	0.630503	0.592593	0	895.176	290	0.41005	0.41005	4.57951	0.00803751	True	False
22	49420000	49440000	13839	16172	16658	16086	16342	0.00231231	0.00213166	0.00209553	0.000397428	0.000361298	0.000108389	0.00444122	0.00436708	0.00412721	0.00383126	0.00437193	0.00404281	0.0043358	0.00400668	0.922559	0.264706	0	993.971	620	0.69195	0.69195	4.46397	0.00937709	True	False
22	47300000	47320000	11867	13823	13935	14037	13759	0.0045083	0.00396056	0.00396056	0.00172748	0.00172748	0	0.00441822	0.00384112	0.00329128	0.00409585	0.00367142	0.0049461	0.00367142	0.0049461	0.798148	0.44086	1	969.968	466	0.59335	0.59335	4.43002	0.0107167	True	False
22	49680000	49700000	14263	17028	17150	16832	16734	0.0024539	0.0024539	0.00234873	0.000210334	0.000140223	0.000105167	0.00440017	0.00385495	0.00341585	0.00248148	0.00348542	0.00253744	0.00338026	0.00243227		0.453125	0		726	0.71315	0.71315	4.40338	0.0120563	True	False
22	46700000	46720000	10907	12302	12689	12815	12483	0.00389658	0.00389658	0.0038049	0	9.16842e-05	9.16842e-05	0.00437308	0.00444293	0.00124049	0.00102576	0.00124049	0.00102576	0.0011488	0.000934079	0.705706	0.558559	0	711.252	406	0.54535	0.54535	4.3634	0.0133958	True	False
